comparacion,etiqueta,n_tramos,n_con_flujo,cuota_mediana,cuota_q25,cuota_q75,spearman,n_imposibles
propia 2016 vs TMDA 2016,RN 127,5,5,0.5583057683847332,0.3127687203081878,0.7138991792460523,-0.9486832980505137,1
propia 2016 vs TMDA 2016,RN 152,5,5,0.65076859108075,0.2614313291509005,0.9923743910908798,0.9176629354822471,0
propia 2016 vs TMDA 2016,RN 23,5,5,0.0979285093687043,0.07943923286116207,0.17439014742837763,0.2894736842105264,0
propia 2016 vs TMDA 2016,RN 79,5,5,0.41133612678380194,0.41133612678380194,0.5560921939261714,0.5789473684210528,1
propia 2016 vs TMDA 2016,RN 89,5,5,0.35849348783501667,0.29857739942343087,0.5274836301607558,-0.15811388300841897,1
propia 2016 vs TMDA 2016,RN 98,5,5,0.03198371783499246,0.02015474484863406,0.03405677730513768,0.6488856845230502,0
propia 2016 vs TMDA 2016,RN 118,4,4,0.008568758698464365,0.005796513237196483,0.01603007318731385,,0
propia 2016 vs TMDA 2016,RN 151,4,4,0.12390630708040538,0.09654397711970643,0.20913707410635146,-0.3333333333333334,0
propia 2016 vs TMDA 2016,RN 18,4,4,0.07300065845033452,0.06317151985436226,0.09156997115973797,0.632455532033676,0
propia 2016 vs TMDA 2016,RN 64,4,3,0.3834111167915103,0.26882642478197905,499.1732732177782,-0.5,1
propia 2016 vs TMDA 2016,RN 81,4,4,0.11255603005313092,0.05881820583525907,0.16116685607647574,-0.7999999999999999,0
propia 2016 vs TMDA 2016,RN 119,3,3,0.17265388965253883,0.16745147438134306,0.1952541235675761,0.0,0
propia 2016 vs TMDA 2016,RN 141,3,3,0.5644122564489128,0.47850769139998983,0.5847480264619858,0.5,0
propia 2016 vs TMDA 2016,RN 158,3,3,0.14116544727931482,0.1227485067279213,0.16069750545525077,0.8660254037844387,0
propia 2016 vs TMDA 2016,RN 237,3,3,0.11090598994985919,0.10421565047575491,0.14258763059806787,-0.5,0
propia 2016 vs TMDA 2016,RN 250,3,3,0.08058692376834409,0.07111196556394772,0.33632781180201227,1.0,0
propia 2016 vs TMDA 2016,RN 251,3,3,0.5224911708753598,0.5221152930019507,0.620099107305248,0.8660254037844387,0
